projectName,openedDate,resolvedDate,locationName,itemSymptom,assignedGroup,contactType,priorityLevel,taskType
Novelis,1/9/2016 10:10:00,8/19/2016 04:34:00,NA - Seoul,Software Installation Request,IT SCCM L2,Phone,3 - Moderate,Catalog Task
Novelis,4/7/2015 10:10:00,8/10/2016 11:16:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/4/2015 10:10:00,8/10/2016 08:14:00,NSA - Pinda,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,11/6/2014 10:10:00,8/10/2016 07:45:00,NE - Nachterstedt,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,11/9/2014 10:11:00,8/12/2016 01:24:00,NE ? Wednesbury,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/30/2015 10:11:00,8/10/2016 11:40:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,5/29/2014 10:11:00,8/10/2016 07:40:00,NE - Nachterstedt,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,9/29/2014 10:11:00,8/9/2016 11:31:00,NNA - Terre Haute,Lotus Notes ID+PWD,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,5/22/2016 10:12:00,8/15/2016 09:15:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/29/2015 10:12:00,8/11/2016 04:18:00,NE - Stuttgart,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/26/2015 10:13:00,8/11/2016 11:12:00,NNA - Berea,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,2/20/2015 10:14:00,8/11/2016 02:13:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,12/10/2015 10:14:00,8/10/2016 10:07:00,NNA - Kingston,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,1/30/2015 10:14:00,8/10/2016 10:06:00,NSA - Sao Paulo,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/23/2014 10:14:00,8/10/2016 07:39:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/24/2015 10:14:00,8/9/2016 10:31:00,NSA - Utinga,Novelis Specific Software - Software Req,IT Desktop Utinga L2,Phone,3 - Normal,Incident
Novelis,2/18/2015 10:14:00,8/9/2016 10:16:00,NE - Nachterstedt,Status Check Incident,IT Service Desk NE L1,Phone,3 - Normal,Incident
Novelis,12/1/2015 10:15:00,8/11/2016 07:17:00,NE - Sierre,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/3/2014 10:15:00,8/10/2016 15:39:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/25/2015 10:15:00,8/10/2016 10:52:00,NSA - Sao Paulo,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,10/22/2014 10:15:00,8/10/2016 07:07:00,NNA - Berea,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,10/27/2014 10:15:00,8/10/2016 06:45:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,2/22/2016 10:16:00,8/12/2016 10:50:00,NSA - Pinda,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/30/2015 10:17:00,8/18/2016 03:12:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/10/2015 10:17:00,8/12/2016 10:21:00,NE - Goettingen,Novelis Specific Software - Access/Permi,IT Messaging L2,Phone,3 - Normal,Incident
Novelis,2/27/2014 10:17:00,8/11/2016 07:04:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,11/6/2014 10:17:00,8/9/2016 10:46:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,7/6/2016 10:18:00,8/12/2016 01:23:00,NNA - Kennesaw R&T,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,5/16/2014 10:18:00,8/11/2016 10:33:00,NE - Goettingen,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/24/2016 10:18:00,8/11/2016 07:19:00,NE - Stuttgart,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/20/2015 10:18:00,8/10/2016 08:10:00,NNA - Kingston,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/19/2015 10:18:00,8/9/2016 10:18:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,9/11/2014 10:19:00,8/9/2016 10:22:00,NSA - Sao Paulo,Windows - All Other Issues,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,4/18/2016 10:20:00,8/11/2016 04:32:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/25/2014 10:22:00,8/22/2016 00:46:00,NNA/Corp - Atlanta HQ,Services How to,IT Service Desk NNA L1,Phone,3 - Normal,Incident
Novelis,1/7/2015 10:24:00,8/30/2016 14:46:00,NNA/Corp - Atlanta HQ,Novelis Specific Software - Access/Permi,IT Service Desk NNA L1,Self-service,3 - Normal,Incident
Novelis,8/23/2016 10:24:00,8/11/2016 15:33:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/12/2014 10:24:00,8/11/2016 07:17:00,NE - Goettingen,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,2/16/2016 10:25:00,8/10/2016 01:26:00,NE - Sierre,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,1/17/2014 10:26:00,8/18/2016 07:15:00,NE - Goettingen,Software Installation Request,IT SCCM L2,Phone,3 - Moderate,Catalog Task
Novelis,11/1/2014 10:26:00,8/10/2016 07:59:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,5/24/2015 10:26:00,8/9/2016 17:06:00,NE - Nachterstedt,Add User to Active Directory,IT FIM AD Request Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/5/2014 10:27:00,8/11/2016 10:56:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,11/7/2015 10:27:00,8/11/2016 06:57:00,NE - Goettingen,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,2/11/2015 10:27:00,8/11/2016 05:26:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/24/2016 10:28:00,8/11/2016 09:21:00,NE - Goettingen,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/10/2014 10:28:00,8/11/2016 04:38:00,NE - Voreppe,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,5/8/2014 10:29:00,8/12/2016 12:20:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/16/2014 10:29:00,8/10/2016 08:09:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/31/2015 10:29:00,8/9/2016 11:00:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,9/3/2015 10:30:00,8/25/2016 13:52:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/25/2015 10:30:00,8/9/2016 10:30:00,NNA/Corp - Atlanta HQ,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,9/12/2015 10:31:00,9/7/2016 15:39:00,NNA - Kennesaw R&T,Software Installation Request,IT Desktop Kennesaw L2,Phone,3 - Moderate,Catalog Task
Novelis,8/12/2014 10:31:00,8/31/2016 10:21:00,NE - Sierre,Outlook - All Other Issues,IT Messaging L2,Phone,3 - Normal,Incident
Novelis,3/31/2016 10:31:00,8/22/2016 08:46:00,NE - Sierre,Peripherals,IT Desktop Sierre L2,Phone,3 - Moderate,Catalog Task
Novelis,8/31/2016 10:31:00,8/11/2016 09:01:00,NSA - Sao Paulo,Telecoms All Other Issues,IT Desktop Sao Paulo L2,Chat,3 - Normal,Incident
Novelis,3/14/2015 10:31:00,8/11/2016 09:01:00,NSA - Sao Paulo,Telecoms All Other Issues,IT Desktop Sao Paulo L2,Chat,3 - Normal,Incident
Novelis,1/18/2015 10:31:00,8/10/2016 10:43:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/31/2014 10:32:00,8/11/2016 07:07:00,NE - Nachterstedt,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,6/6/2015 10:32:00,8/10/2016 11:49:00,NSA - Utinga,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,12/5/2014 10:32:00,8/9/2016 10:32:00,NNA/Corp - Atlanta HQ,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,8/22/2016 10:33:00,8/17/2016 10:19:00,NSA - Sao Paulo,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,1/17/2015 10:33:00,8/17/2016 05:58:00,NSA - Pinda,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,10/21/2014 10:33:00,8/11/2016 05:29:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/11/2016 10:34:00,8/16/2016 10:37:00,NE - Sierre,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/31/2015 10:34:00,8/12/2016 17:00:00,NNA/Corp - Atlanta HQ,Hardware How to,IT Service Desk NNA L1,Chat,3 - Normal,Incident
Novelis,2/25/2016 10:34:00,8/10/2016 13:02:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,10/25/2014 10:35:00,8/12/2016 12:32:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/15/2015 10:35:00,8/11/2016 13:23:00,NE - Goettingen,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/24/2015 10:35:00,8/9/2016 14:47:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,10/12/2014 10:36:00,8/10/2016 05:43:00,NE - Sierre,Novelis Specific Software - Inquiry,IT Service Desk NE L1,Self-service,3 - Normal,Incident
Novelis,8/4/2015 10:36:00,8/10/2016 03:56:00,NE - Goettingen,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,6/24/2014 10:38:00,8/19/2016 16:08:00,NE - Pieve,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/9/2016 10:38:00,8/10/2016 13:44:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/26/2016 10:38:00,8/10/2016 13:05:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/30/2014 10:39:00,8/12/2016 04:47:00,NNA - Oswego,Functional Support - Functional analysis,IT APP Global SAP S2P L2,Self-service,3 - Normal,Incident
Novelis,7/17/2016 10:39:00,8/10/2016 13:06:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,6/6/2015 10:40:00,8/9/2016 12:28:00,NNA/Corp - Atlanta HQ,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,9/30/2014 10:41:00,8/12/2016 19:24:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/9/2014 10:41:00,8/9/2016 13:11:00,NNA - Oswego,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,12/7/2014 10:44:00,8/15/2016 04:06:00,NE ? Wednesbury,Employee and Contractor Off Boarding,IT Desktop Dispatch NE L2,Phone,3 - Moderate,Catalog Task
Novelis,5/16/2015 10:44:00,8/12/2016 19:57:00,NE - Zurich,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/11/2016 10:44:00,8/12/2016 10:16:00,NSA - Utinga,PC / Laptop Device Issue,IT Desktop Utinga L2,Self-service,3 - Normal,Incident
Novelis,8/2/2016 10:44:00,8/11/2016 07:33:00,NSA - Pinda,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/28/2015 10:44:00,8/10/2016 11:35:00,NE ? Wednesbury,Employee and Contractor Off Boarding,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,3/10/2016 10:44:00,8/10/2016 11:34:00,NE ? Wednesbury,Employee and Contractor Off Boarding,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,6/15/2016 10:44:00,8/9/2016 12:08:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Plant Controllers,Phone,3 - Moderate,Catalog Task
Novelis,4/9/2016 10:45:00,8/22/2016 11:10:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT Desktop Atlanta L2,Phone,3 - Moderate,Catalog Task
Novelis,7/7/2015 10:45:00,8/18/2016 14:14:00,NSA - Pinda,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,6/16/2016 10:45:00,8/18/2016 08:40:00,NSA - Utinga,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,6/9/2016 10:45:00,8/15/2016 04:06:00,NE ? Wednesbury,Employee and Contractor Off Boarding,IT Desktop Dispatch NE L2,Phone,3 - Moderate,Catalog Task
Novelis,4/12/2015 10:45:00,8/12/2016 12:58:00,NE - Sierre,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/8/2014 10:45:00,8/11/2016 09:05:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,5/8/2015 10:45:00,8/10/2016 07:47:00,NSA - Pinda,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/21/2014 10:45:00,8/9/2016 15:24:00,NE ? Wednesbury,Employee and Contractor Off Boarding,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,6/12/2014 10:45:00,8/9/2016 10:48:00,NE ? Wednesbury,Employee and Contractor Off Boarding,IT FIM AD Request Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/27/2016 10:46:00,8/19/2016 12:40:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Tolling Planner,Phone,3 - Moderate,Catalog Task
Novelis,2/26/2014 10:46:00,8/11/2016 05:58:00,NE - Sierre,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,2/5/2016 10:47:00,8/9/2016 13:00:00,NNA - Oswego,Metal Materials,SAP Oswego Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,2/28/2015 10:50:00,8/11/2016 06:12:00,NE - Goettingen,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/9/2014 10:51:00,8/15/2016 11:29:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,9/27/2014 10:53:00,8/16/2016 09:42:00,NSA - Sao Paulo,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,1/13/2014 10:53:00,8/15/2016 11:28:00,NSA - Sao Paulo,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/26/2015 10:53:00,8/12/2016 12:04:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,6/17/2015 10:53:00,8/10/2016 07:11:00,NNA - Warren,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/12/2016 10:53:00,8/10/2016 06:01:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,7/11/2016 10:55:00,8/10/2016 08:02:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,1/14/2014 10:56:00,8/12/2016 12:05:00,NE - Sierre,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/5/2014 10:56:00,8/10/2016 16:34:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,1/24/2016 10:57:00,8/9/2016 11:31:00,NE - Nachterstedt,VPN Access Request New,IT Security NEW VPN Access Request L2,Phone,3 - Moderate,Catalog Task
Novelis,11/5/2014 10:58:00,8/9/2016 11:31:00,NNA - Oswego,Status Check,IT Service Desk NNA L1,Phone,4 - Low,Incident
Novelis,2/14/2016 10:59:00,8/10/2016 08:03:00,NNA - Kingston,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/1/2014 10:59:00,8/9/2016 15:20:00,NNA/Corp - Atlanta HQ,Laptop / Tablet,IT Service Desk NNA L1,Phone,3 - Moderate,Catalog Task
Novelis,2/4/2015 11:00:00,8/11/2016 04:30:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/12/2016 11:00:00,8/9/2016 14:31:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,9/22/2014 11:00:00,8/9/2016 11:04:00,NNA/Corp - Atlanta HQ,Non IT Questions,IT Service Desk NNA L1,Phone,4 - Low,Incident
Novelis,3/30/2015 11:01:00,8/12/2016 12:03:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/13/2015 11:01:00,8/11/2016 04:33:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,5/10/2015 11:01:00,8/11/2016 03:56:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,10/21/2014 11:02:00,8/11/2016 15:32:00,NNA - Kingston,Access Request for Email on Mobile Device,IT Service Desk NNA L1,Phone,3 - Moderate,Catalog Task
Novelis,12/5/2014 11:04:00,8/12/2016 12:09:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,1/28/2015 11:07:00,8/11/2016 14:51:00,NNA - Terre Haute,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,1/20/2014 11:09:00,8/12/2016 12:04:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/23/2015 11:09:00,8/12/2016 11:15:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/17/2014 11:09:00,8/11/2016 15:34:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,5/2/2014 11:10:00,8/11/2016 10:28:00,NE - Nachterstedt,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,5/5/2015 11:10:00,8/10/2016 11:01:00,NNA/Corp - Atlanta HQ,Employee and Contractor Off Boarding,IT Desktop Atlanta L2,Phone,3 - Moderate,Catalog Task
Novelis,4/5/2016 11:10:00,8/9/2016 13:14:00,NNA/Corp - Atlanta HQ,Employee and Contractor Off Boarding,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,9/1/2015 11:11:00,8/11/2016 06:15:00,NE - Zurich,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/2/2015 11:12:00,8/11/2016 04:22:00,NE - Zurich,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/24/2016 11:13:00,8/12/2016 07:38:00,NE - Goettingen,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,2/19/2015 11:13:00,8/12/2016 06:50:00,NNA - Kingston,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,1/3/2015 11:14:00,8/9/2016 11:33:00,NNA - Kingston,VPN Access Request New,IT Security NEW VPN Access Request L2,Phone,3 - Moderate,Catalog Task
Novelis,1/17/2014 11:15:00,9/1/2016 09:24:00,NNA - Oswego,VPN - Troubleshoot,IT Service Desk NNA L1,Self-service,3 - Normal,Incident
Novelis,7/21/2015 11:16:00,8/12/2016 12:15:00,NSA - Pinda,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,6/2/2016 11:16:00,8/11/2016 08:22:00,NNA - Kingston,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,12/1/2014 11:17:00,8/12/2016 08:06:00,NSA - Sao Paulo,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,3/17/2014 11:17:00,8/10/2016 06:02:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,5/28/2015 11:18:00,8/11/2016 09:51:00,NNA/Corp - Atlanta HQ,Status Check Request,IT Service Desk NNA L1,Phone,4 - Low,Incident
Novelis,9/5/2014 11:19:00,8/9/2016 11:45:00,NNA/Corp - Atlanta HQ,Office 365 Shared Mailbox Changes,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,5/17/2014 11:20:00,8/12/2016 06:02:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,6/17/2015 11:22:00,8/9/2016 11:35:00,NNA - Oswego,Office 365 Distribution List Changes,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,1/21/2015 11:24:00,8/10/2016 11:41:00,NNA - Novi,MS Office - All Other Issues,IT Incident Coordinator NNA L2,Self-service,2 - Urgent,Incident
Novelis,1/25/2016 11:24:00,8/9/2016 11:27:00,NNA/Corp - Atlanta HQ,Status Check Request,IT Service Desk NNA L1,Phone,3 - Normal,Incident
Novelis,3/2/2015 11:26:00,8/9/2016 11:42:00,NNA - Oswego,Office 365 Distribution List Changes,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,5/24/2014 11:27:00,8/12/2016 16:22:00,NNA - Oswego,Mobile Devices All Other Issues,IT Service Desk NNA L1,Self-service,3 - Normal,Incident
Novelis,6/16/2015 11:28:00,8/12/2016 02:15:00,NE - Sierre,Novelis Specific Software - Software Iss,IT Desktop Sierre L2,Self-service,3 - Normal,Incident
Novelis,11/19/2014 11:29:00,8/9/2016 12:30:00,NSA - Pinda,Email - Spam/Phishing Email,IT Service Desk PhishMe L1,Email,3 - Normal,Incident
Novelis,3/18/2015 11:30:00,8/9/2016 14:23:00,NNA/Corp - Atlanta HQ,Vendor Master Create/Change,SAP Procurement Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,7/10/2014 11:31:00,8/10/2016 07:45:00,NNA - Oswego,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,1/5/2015 11:32:00,8/10/2016 08:20:00,NNA/Corp - Atlanta HQ,Novelis Specific Software - Access/Permi,IT Desktop Zurich L2,Self-service,2 - Urgent,Incident
Novelis,3/16/2016 11:32:00,8/9/2016 11:41:00,NSA - Pinda,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,5/24/2014 11:33:00,8/16/2016 12:49:00,NE - Goettingen,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,4/27/2015 11:36:00,8/12/2016 07:05:00,NNA - Kingston,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,5/9/2015 11:36:00,8/12/2016 06:55:00,NNA - Kingston,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,2/19/2014 11:36:00,8/11/2016 18:32:00,NNA - Kingston,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,1/28/2014 11:37:00,8/9/2016 11:57:00,NNA/Corp - Atlanta HQ,VPN - Configuration,IT Service Desk NNA L1,Phone,3 - Normal,Incident
Novelis,3/25/2016 11:38:00,8/10/2016 07:17:00,NNA - Kennesaw R&T,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
